100  C0  H
distance:	RDF value:
0.00000	0.00000000
0.10000	0.00000000
0.20000	0.00000000
0.30000	0.00000000
0.40000	0.00000000
0.50000	0.00000000
0.60000	0.00000000
0.70000	0.00000000
0.80000	0.00000000
0.90000	0.00000000
1.00000	0.00000000
1.10000	0.00000000
1.20000	0.00000000
1.30000	0.00000000
1.40000	0.00000000
1.50000	0.00000000
1.60000	0.00000000
1.70000	0.00000000
1.80000	0.00000000
1.90000	0.00000000
2.00000	0.00000000
2.10000	0.00000000
2.20000	0.00000000
2.30000	0.00000000
2.40000	0.00000000
2.50000	0.00000000
2.60000	0.00000000
2.70000	0.00000000
2.80000	0.00000000
2.90000	0.00000000
3.00000	0.13493417
3.10000	0.20242554
3.20000	0.24892867
3.30000	0.22331266
3.40000	0.16823626
3.50000	0.22838774
3.60000	0.38484150
3.70000	0.46190076
3.80000	0.72412274
3.90000	0.96753224
4.00000	1.44412817
4.10000	1.19354669
4.20000	1.60585584
4.30000	1.75637126
4.40000	1.57032444
4.50000	1.45898050
4.60000	1.27558483
4.70000	1.28245509
4.80000	1.41376939
4.90000	1.25045103
5.00000	1.06974979
5.10000	1.10802185
5.20000	0.98046503
5.30000	1.16480415
5.40000	1.25958498
5.50000	1.00049742
5.60000	0.88014211
5.70000	0.79368344
5.80000	0.81311049
5.90000	0.75086448
6.00000	0.78702242
6.10000	0.71255008
6.20000	0.77179284
6.30000	0.69242046
6.40000	0.73002886
6.50000	0.82022555
6.60000	0.80682428
6.70000	0.77724836
6.80000	0.86269023
6.90000	0.87356529
7.00000	1.00761954
7.10000	1.00857215
7.20000	1.10929947
7.30000	1.07885191
7.40000	1.14124737
7.50000	1.14519904
7.60000	1.28591993
7.70000	1.31663856
7.80000	1.16526847
7.90000	1.25092113
8.00000	1.20437752
8.10000	1.18604251
8.20000	1.01254115
8.30000	0.95845928
8.40000	0.92874925
8.50000	0.90370483
8.60000	1.00301010
8.70000	1.06029089
8.80000	0.96723150
8.90000	0.98992809
9.00000	0.94880885
9.10000	0.92678487
9.20000	0.78164403
9.30000	0.84648784
9.40000	0.90834247
9.50000	0.89870933
9.60000	0.95659353
9.70000	0.99101727
9.80000	1.05326536
9.90000	1.03460224
